timestamp,MVRV Z-Score,Price [USD]
1288569600000,4.909,0.2
1288656000000,4.683,0.19
1288742400000,4.519,0.19
1288828800000,5.549,0.23
1288915200000,6.268,0.26
1289001600000,9.428,0.39
1289088000000,7.403,0.34
1289174400000,4.463,0.24
1289260800000,3.475,0.21
1289347200000,4.193,0.24
1289433600000,3.666,0.22
1289520000000,4.716,0.27
1289606400000,4.766,0.28
1289692800000,4.698,0.28
1289779200000,4.289,0.27
1289865600000,3.162,0.22
1289952000000,3.273,0.23
1290038400000,4.061,0.27
1290124800000,4.23,0.28
1290211200000,4.189,0.28
1290297600000,3.97,0.28
1290384000000,4.116,0.29
1290470400000,3.93,0.28
1290556800000,3.851,0.28
1290643200000,3.714,0.28
1290729600000,3.724,0.28
1290816000000,3.632,0.28
1290902400000,3.329,0.27
1290988800000,2.539,0.23
1291075200000,2.112,0.21
1291161600000,2.459,0.23
1291248000000,2.926,0.26
1291334400000,2.822,0.25
1291420800000,1.964,0.2
1291507200000,1.679,0.19
1291593600000,1.908,0.2
1291680000000,2.406,0.23
1291766400000,2.487,0.24
1291852800000,1.779,0.2
1291939200000,1.839,0.2
1292025600000,2.249,0.23
1292112000000,2.092,0.22
1292198400000,2.244,0.23
1292284800000,2.515,0.25
1292371200000,2.338,0.24
1292457600000,2.521,0.25
1292544000000,2.33,0.24
1292630400000,2.327,0.24
1292716800000,2.294,0.24
1292803200000,2.712,0.27
1292889600000,2.226,0.24
1292976000000,2.373,0.25
1293062400000,2.353,0.25
1293148800000,2.302,0.25
1293235200000,2.313,0.25
1293321600000,2.535,0.27
1293408000000,2.511,0.27
1293494400000,2.738,0.28
1293580800000,2.988,0.3
1293667200000,2.952,0.3
1293753600000,2.919,0.3
1293840000000,2.888,0.3
1293926400000,2.853,0.3
1294012800000,2.747,0.29
1294099200000,2.78,0.3
1294185600000,2.752,0.3
1294272000000,2.71,0.3
1294358400000,2.999,0.32
1294444800000,3.004,0.32
1294531200000,2.972,0.32
1294617600000,2.978,0.33
1294704000000,2.922,0.33
1294790400000,2.784,0.32
1294876800000,2.728,0.32
1294963200000,3.797,0.4
1295049600000,3.552,0.39
1295136000000,3.503,0.39
1295222400000,2.968,0.35
1295308800000,2.465,0.31
1295395200000,2.435,0.31
1295481600000,3.391,0.39
1295568000000,3.714,0.42
1295654400000,3.95,0.44
1295740800000,3.846,0.44
1295827200000,3.51,0.42
1295913600000,3.342,0.41
1296000000000,3.37,0.42
1296086400000,3.191,0.42
1296172800000,3.429,0.45
1296259200000,3.289,0.44
1296345600000,3.699,0.48
1296432000000,4.054,0.52
1296518400000,5.829,0.7
1296604800000,5.754,0.72
1296691200000,5.317,0.69
1296777600000,6.297,0.81
1296864000000,7.017,0.92
1296950400000,6.521,0.9
1297036800000,6.14,0.89
1297123200000,6.153,0.92
1297209600000,7.212,1.09
1297296000000,6.087,0.98
1297382400000,6.501,1.07
1297468800000,6.328,1.08
1297555200000,5.905,1.05
1297641600000,5.818,1.07
1297728000000,5.516,1.05
1297814400000,5.335,1.04
1297900800000,5.168,1.04
1297987200000,4.188,0.9
1298073600000,4.415,0.95
1298160000000,3.746,0.85
1298246400000,3.603,0.83
1298332800000,3.76,0.87
1298419200000,3.878,0.9
1298505600000,4.364,1
1298592000000,3.809,0.91
1298678400000,3.998,0.96
1298764800000,3.554,0.89
1298851200000,3.337,0.86
1298937600000,3.454,0.92
1299024000000,3.507,0.94
1299110400000,3.455,0.94
1299196800000,3.213,0.9
1299283200000,3.22,0.91
1299369600000,3.131,0.9
1299456000000,3.024,0.89
1299542400000,2.915,0.87
1299628800000,2.86,0.86
1299715200000,3.169,0.93
1299801600000,2.876,0.88
1299888000000,3.024,0.92
1299974400000,2.867,0.89
1300060800000,2.842,0.89
1300147200000,2.694,0.87
1300233600000,2.613,0.86
1300320000000,2.426,0.83
1300406400000,2.369,0.82
1300492800000,2.113,0.77
1300579200000,1.99,0.74
1300665600000,2.061,0.76
1300752000000,2.281,0.81
1300838400000,2.449,0.85
1300924800000,2.498,0.87
1301011200000,2.556,0.88
1301097600000,2.399,0.86
1301184000000,2.224,0.82
1301270400000,2.117,0.8
1301356800000,2.077,0.79
1301443200000,2.054,0.79
1301529600000,2.021,0.78
1301616000000,1.965,0.77
1301702400000,1.992,0.78
1301788800000,1.969,0.78
1301875200000,1.523,0.68
1301961600000,1.647,0.71
1302048000000,1.771,0.74
1302134400000,1.824,0.75
1302220800000,1.799,0.75
1302307200000,1.706,0.73
1302393600000,1.73,0.74
1302480000000,1.864,0.77
1302566400000,2.236,0.86
