timestamp,Realized Price [USD],Price [USD]
1288569600000,0.07,0.2
1288656000000,0.07,0.19
1288742400000,0.07,0.19
1288828800000,0.07,0.23
1288915200000,0.07,0.26
1289001600000,0.08,0.39
1289088000000,0.08,0.34
1289174400000,0.08,0.24
1289260800000,0.08,0.21
1289347200000,0.08,0.24
1289433600000,0.08,0.22
1289520000000,0.08,0.27
1289606400000,0.09,0.28
1289692800000,0.09,0.28
1289779200000,0.09,0.27
1289865600000,0.09,0.22
1289952000000,0.09,0.23
1290038400000,0.09,0.27
1290124800000,0.09,0.28
1290211200000,0.09,0.28
1290297600000,0.09,0.28
1290384000000,0.09,0.29
1290470400000,0.09,0.28
1290556800000,0.09,0.28
1290643200000,0.09,0.28
1290729600000,0.1,0.28
1290816000000,0.1,0.28
1290902400000,0.1,0.27
1290988800000,0.1,0.23
1291075200000,0.1,0.21
1291161600000,0.1,0.23
1291248000000,0.1,0.26
1291334400000,0.1,0.25
1291420800000,0.1,0.2
1291507200000,0.1,0.19
1291593600000,0.1,0.2
1291680000000,0.1,0.23
1291766400000,0.1,0.24
1291852800000,0.1,0.2
1291939200000,0.1,0.2
1292025600000,0.1,0.23
1292112000000,0.1,0.22
1292198400000,0.1,0.23
1292284800000,0.1,0.25
1292371200000,0.1,0.24
1292457600000,0.1,0.25
1292544000000,0.1,0.24
1292630400000,0.1,0.24
1292716800000,0.1,0.24
1292803200000,0.11,0.27
1292889600000,0.11,0.24
1292976000000,0.11,0.25
1293062400000,0.11,0.25
1293148800000,0.11,0.25
1293235200000,0.11,0.25
1293321600000,0.11,0.27
1293408000000,0.11,0.27
1293494400000,0.11,0.28
1293580800000,0.11,0.3
1293667200000,0.11,0.3
1293753600000,0.11,0.3
1293840000000,0.11,0.3
1293926400000,0.11,0.3
1294012800000,0.11,0.29
1294099200000,0.11,0.3
1294185600000,0.11,0.3
1294272000000,0.11,0.3
1294358400000,0.11,0.32
1294444800000,0.12,0.32
1294531200000,0.12,0.32
1294617600000,0.12,0.33
1294704000000,0.12,0.33
1294790400000,0.12,0.32
1294876800000,0.12,0.32
1294963200000,0.12,0.4
1295049600000,0.12,0.39
1295136000000,0.12,0.39
1295222400000,0.13,0.35
1295308800000,0.13,0.31
1295395200000,0.13,0.31
1295481600000,0.13,0.39
1295568000000,0.13,0.42
1295654400000,0.13,0.44
1295740800000,0.13,0.44
1295827200000,0.13,0.42
1295913600000,0.13,0.41
1296000000000,0.14,0.42
1296086400000,0.15,0.42
